idx,sim_id,morph,f,beta,mach,p_ext,seed,lw,npk,wall,event,t_event,lw_genuine,collapsed,timed_out
191,RCE_f1.4_b1.0_m3.0_p0.3_s1,FULL,1.4,1.0,3.0,0.3,1,,1,1712,GRAV_FRAG,0.08,,True,False
192,RCE_f1.4_b1.0_m3.0_p0.5_s1,FULL,1.4,1.0,3.0,0.5,1,,1,1742,GRAV_FRAG,0.08,,True,False
193,RCE_f1.4_b2.0_m2.0_p0.0_s1,TIMEOUT,1.4,2.0,2.0,0.0,1,,1,7206,TIMEOUT,,,False,True
194,RCE_f1.4_b2.0_m2.0_p0.0_s2,TIMEOUT,1.4,2.0,2.0,0.0,2,,1,7206,TIMEOUT,,,False,True
195,RCE_f1.4_b2.0_m2.0_p0.0_s3,TIMEOUT,1.4,2.0,2.0,0.0,3,11.4062,2,7206,TIMEOUT,,,False,True
196,RCE_f1.4_b2.0_m2.0_p0.1_s1,TIMEOUT,1.4,2.0,2.0,0.1,1,,1,7206,TIMEOUT,,,False,True
197,RCE_f1.4_b2.0_m2.0_p0.1_s2,TIMEOUT,1.4,2.0,2.0,0.1,2,,1,7206,TIMEOUT,,,False,True
198,RCE_f1.4_b2.0_m2.0_p0.1_s3,TIMEOUT,1.4,2.0,2.0,0.1,3,11.4062,2,7206,TIMEOUT,,,False,True
199,RCE_f1.4_b2.0_m2.0_p0.3_s1,TIMEOUT,1.4,2.0,2.0,0.3,1,,1,7206,TIMEOUT,,,False,True
200,RCE_f1.4_b2.0_m2.0_p0.3_s2,TIMEOUT,1.4,2.0,2.0,0.3,2,,1,7206,TIMEOUT,,,False,True
201,RCE_f1.4_b2.0_m2.0_p0.3_s3,TIMEOUT,1.4,2.0,2.0,0.3,3,11.4062,2,7206,TIMEOUT,,,False,True
202,RCE_f1.4_b2.0_m2.0_p0.5_s1,TIMEOUT,1.4,2.0,2.0,0.5,1,,1,7206,TIMEOUT,,,False,True
203,RCE_f1.4_b2.0_m2.0_p0.5_s2,TIMEOUT,1.4,2.0,2.0,0.5,2,,1,7206,TIMEOUT,,,False,True
204,RCE_f1.4_b2.0_m2.0_p0.5_s3,TIMEOUT,1.4,2.0,2.0,0.5,3,11.4062,2,7206,TIMEOUT,,,False,True
205,RCE_f1.4_b2.0_m3.0_p0.0_s1,TIMEOUT,1.4,2.0,3.0,0.0,1,,1,7206,TIMEOUT,,,False,True
206,RCE_f1.4_b2.0_m3.0_p0.0_s2,TIMEOUT,1.4,2.0,3.0,0.0,2,,1,7206,TIMEOUT,,,False,True
207,RCE_f1.4_b2.0_m3.0_p0.0_s3,TIMEOUT,1.4,2.0,3.0,0.0,3,,1,7206,TIMEOUT,,,False,True
208,RCE_f1.4_b2.0_m3.0_p0.1_s1,TIMEOUT,1.4,2.0,3.0,0.1,1,,1,7206,TIMEOUT,,,False,True
209,RCE_f1.4_b2.0_m3.0_p0.1_s2,TIMEOUT,1.4,2.0,3.0,0.1,2,,1,7206,TIMEOUT,,,False,True
210,RCE_f1.4_b2.0_m3.0_p0.1_s3,TIMEOUT,1.4,2.0,3.0,0.1,3,,1,7206,TIMEOUT,,,False,True
211,RCE_f1.4_b2.0_m3.0_p0.3_s1,TIMEOUT,1.4,2.0,3.0,0.3,1,,1,7206,TIMEOUT,,,False,True
212,RCE_f1.5_b0.5_m2.0_p0.0_s2,FULL,1.5,0.5,2.0,0.0,2,,1,241,DT_COLLAPSE,0.08,,True,False
213,RCE_f1.4_b2.0_m3.0_p0.3_s2,TIMEOUT,1.4,2.0,3.0,0.3,2,,1,7206,TIMEOUT,,,False,True
214,RCE_f1.4_b2.0_m3.0_p0.3_s3,TIMEOUT,1.4,2.0,3.0,0.3,3,,1,7206,TIMEOUT,,,False,True
215,RCE_f1.5_b0.5_m2.0_p0.0_s1,FULL,1.5,0.5,2.0,0.0,1,,1,1052,GRAV_FRAG,0.085,,True,False
216,RCE_f1.5_b0.5_m2.0_p0.1_s2,FULL,1.5,0.5,2.0,0.1,2,,1,241,DT_COLLAPSE,0.08,,True,False
217,RCE_f1.5_b0.5_m2.0_p0.1_s1,FULL,1.5,0.5,2.0,0.1,1,,1,1082,GRAV_FRAG,0.085,,True,False
218,RCE_f1.5_b0.5_m2.0_p0.0_s3,FULL,1.5,0.5,2.0,0.0,3,,1,1322,GRAV_FRAG,0.085,,True,False
